Nome,CPF,Data de Nascimento,Idade,Rua,Numero,Bairro,Cidade,CEP,Telefone Celular
Leandro Pinto,793.085.461-20,29/12/1950,73,Rodovia Monteiro,34,Andiroba,Novaes Grande,90107283,61 0111 1011
Leandro Pinto,793.085.461-20,29/12/1950,73,Viaduto de Cunha,39,Vila Batik,da Cruz,05181-120,+55 61 9244 1645
Leandro Pinto,793.085.461-20,29/12/1950,73,Pátio de da Rocha,40,Vila Do Pombal,Mendes da Mata,92204788,+55 51 7411 7039
Leandro Pinto,793.085.461-20,29/12/1950,73,Via de Nunes,9,Glória,Fogaça do Galho,86722688,(041) 1802 5705
Ana Carolina Melo,802.974.531-14,24/10/1981,42,Campo Rezende,8,Vila São Dimas,Rocha Alegre,57151-037,84 1099-2593
Augusto Martins,803.467.529-65,30/12/1977,46,Feira Rezende,74,Tiradentes,Costela do Amparo,51697-329,(031) 6476-8207
Camila Rocha,807.129.465-94,30/10/1968,55,Praia Elisa Sales,647,Pindura Saia,Ferreira,75939-929,+55 (041) 0563-1828
Leandro Vieira,809.537.624-83,10/09/1969,54,Via da Cruz,46,Vila Paris,da Rocha,64510123,71 0777 7233
Amanda da Cunha,813.576.409-00,26/05/1991,32,Residencial de Porto,20,São Sebastião,Sales das Pedras,8311446,71 2679 7762
Paulo Almeida,813.965.704-20,05/04/1970,53,Condomínio Melo,10,Lourdes,Fogaça do Oeste,46004707,(041) 1763 3010
Vicente Farias,814.206.935-06,25/08/1957,66,Viela Matheus Cavalcanti,82,Mineirão,Correia,92039154,31 9828 0388
Helena Fernandes,815.296.703-30,26/03/2003,20,Rodovia de Cunha,27,Vila Puc,Fogaça,44419139,31 4184-2699
Larissa Pereira,819.427.605-58,08/10/1973,50,Avenida Kamilly Gonçalves,956,Vila Nova Paraíso,Freitas Verde,53421255,61 4787 1899
Igor Sales,823.976.051-12,17/07/1964,59,Estrada Monteiro,3,Vila Madre Gertrudes 3ª Seção,Viana,18119427,61 2210-5482
Felipe Lima,826.054.397-47,22/08/1974,49,Viela de Dias,82,Jardim Leblon,da Paz da Praia,12773-179,(021) 1406-8457
Giovanna Cardoso,829.753.640-83,06/10/1956,67,Passarela Ramos,23,Conjunto Novo Dom Bosco,Lima da Praia,40319-587,+55 (071) 9481-8724
Pietra Castro,836.092.714-69,19/11/1972,51,Estrada Novaes,17,Barro Preto,Mendes,03855-356,+55 84 5433-7004
Enrico Caldeira,836.427.905-00,19/01/1984,39,Jardim de Martins,7,São Bento,Vieira,21687-255,+55 (084) 8954 5006
Dra. Maria Fernanda Ferreira,836.950.471-00,12/07/2001,22,Rodovia Novaes,29,Novo Aarão Reis,Santos,82920456,(084) 4863-6577
Daniela Cavalcanti,837.950.126-86,22/06/1947,76,Quadra Martins,15,Vila São Geraldo,Silveira de Caldeira,36638041,(041) 2910-8093
Guilherme Freitas,839.521.647-55,13/06/1957,66,Núcleo Novaes,36,Conjunto Paulo Vi,Novaes de Aragão,37358674,+55 11 8462 0976
Pietra Moreira,840.527.196-11,09/12/1956,67,Praia Ana Vitória Rezende,3,Vila Dos Anjos,Cavalcanti do Galho,51512855,+55 71 0107-1336
Mariane Cunha,842.735.619-64,31/12/1970,53,Condomínio da Rocha,542,Vila De Sá,da Cunha,62508-280,+55 (031) 9418 6597
Emanuelly Martins,842.751.936-28,12/12/1945,78,Lagoa Melo,4,Camponesa 2ª Seção,da Mata,32072322,0300 343 1828
Sra. Marina Martins,843.510.972-05,06/09/1978,45,Lagoa da Mota,7,Vila Bandeirantes,Moreira,67616168,+55 61 1432 1570
Mariana das Neves,845.371.269-73,20/07/1963,60,Travessa de Rodrigues,71,Varzea Da Palma,da Cunha,62107-252,+55 (041) 2436-3520
Vinicius Azevedo,845.397.162-55,02/02/1969,54,Aeroporto João Guilherme Pinto,39,Nazare,da Rosa do Galho,3825839,+55 11 8287-2913
Bruna Fogaça,846.037.295-29,13/01/1964,59,Pátio Sales,270,Vila Nova Gameleira 3ª Seção,Cavalcanti,21433693,21 8932 4527
Daniel Monteiro,847.105.296-20,23/06/1955,68,Feira Costela,34,Vila Canto Do Sabiá,da Mata,99588395,+55 (071) 9039 2110
Benício Silva,849.321.670-40,04/02/2005,18,Colônia Aragão,95,Esplanada,Alves Verde,44797189,(041) 0653 1943
Bruna Nascimento,850.162.374-17,19/09/1955,68,Estrada de Duarte,739,Vera Cruz,Rocha,70128-562,51 1837 9631
Danilo Monteiro,850.176.329-21,09/03/2001,22,Vereda Pietra Lima,489,São Damião,Souza da Praia,52924444,+55 (071) 3204 8122
Bárbara Silva,850.217.436-35,11/08/1992,31,Lago Bernardo da Mata,60,Céu Azul,Nogueira,12068-804,(051) 2348 2683
Luiz Otávio Pinto,850.967.421-30,14/07/1991,32,Morro Martins,90,Paraíso,Novaes Grande,11840981,+55 (021) 2681-7484
Marcela Pinto,851.429.763-55,15/10/1943,80,Loteamento Manuela Cardoso,76,Vila Nova Dos Milionarios,Castro,14174482,51 5045 2144
Kevin Costa,853.046.927-56,10/05/1995,28,Avenida Costela,690,Parque São José,Ferreira das Pedras,07867-643,0500-543-3216
Ana Carolina Mendes,856.947.320-65,13/07/1977,46,Residencial Renan Cunha,77,Novo Glória,Campos das Flores,56241-510,+55 (071) 1730-0127
Daniel da Luz,862.194.503-70,24/10/1972,51,Lagoa Bernardo Moraes,7,Carlos Prates,Oliveira dos Dourados,45579-698,21 8250-3208
Gabriela Souza,863.195.427-64,19/12/1959,64,Vereda de Cardoso,9,Santa Lúcia,Barbosa de Santos,21467280,+55 (084) 4855 3932
Eduardo Lopes,867.051.923-21,20/09/1944,79,Favela Pires,1,Canadá,Porto da Prata,52562-441,+55 61 5790-4320
Maria Fernanda Nunes,869.715.230-59,17/08/1978,45,Rodovia Maria Cecília Moraes,25,Satelite,Moraes do Oeste,64726356,71 1674 6235
Maria Eduarda Rezende,870.614.592-20,01/04/1989,34,Estação Mendes,74,Novo São Lucas,Ribeiro Alegre,51344742,84 6184-7646
Dr. João Lucas da Costa,871.034.529-97,19/01/1999,24,Quadra Enzo Gabriel Jesus,77,Ermelinda,da Mota,70093320,+55 (071) 4184 8621
Sr. Yuri Silveira,871.503.246-90,03/04/1970,53,Rua de Cardoso,72,Vila Oeste,Viana de da Cunha,74764-446,(021) 5227 2234
Dr. Luiz Otávio Silva,872.196.034-87,28/02/1996,27,Praça Oliveira,10,Boa Esperança,Melo,83991-187,(061) 8488 9026
Luiz Otávio da Mota,873.596.024-83,31/07/1996,27,Favela de Pinto,37,Candelaria,Teixeira,48778691,+55 71 5765 7245
Emanuelly Nogueira,879.062.531-59,04/06/2003,20,Residencial das Neves,23,Nova America,Castro,67275-342,51 8561 9953
Alexandre Pinto,890.217.346-13,17/06/1990,33,Alameda de Peixoto,3,Boa União 2ª Seção,Cardoso,35030346,+55 61 6925 0120
Gabriela Duarte,893.645.207-00,25/05/1991,32,Feira Clara da Cruz,2,Funcionários,Araújo de Freitas,68192-357,(081) 4581-3608
Dr. Pedro da Luz,894.120.356-24,12/08/1997,26,Travessa de Peixoto,8,Diamante,Cardoso,1828385,+55 (081) 1804 0383
Anthony da Paz,901.246.583-42,30/03/1984,39,Estação de Santos,22,Santa Isabel,das Neves,52923-206,+55 (071) 4368 0024
Sabrina da Paz,903.267.148-04,29/10/1973,50,Fazenda Rezende,401,Jatobá,Silva dos Dourados,44930-667,+55 (084) 6213 8522
Dra. Laura da Cunha,903.561.278-77,18/08/1994,29,Viaduto de Cardoso,84,Jardim América,Nunes,21551-211,+55 21 6733-4406
Benjamin Cardoso,905.123.764-25,19/04/1949,74,Via Campos,97,Salgado Filho,Silva,69384983,+55 11 0989 5154
Lucca da Mota,906.847.132-50,25/03/1960,63,Feira de Nascimento,6,Nazare,Souza Alegre,70484-933,+55 11 0198 3117
Luna Gonçalves,907.658.413-39,15/05/1961,62,Distrito Clarice Sales,719,Capitão Eduardo,Campos do Campo,64458314,+55 41 2189-2756
Rodrigo Correia,908.167.543-57,27/06/1981,42,Vila de Almeida,7,Mariquinhas,Nogueira Alegre,63729-220,+55 (081) 9037-4404
Miguel Almeida,908.561.243-89,01/12/1972,51,Feira de das Neves,91,Capitão Eduardo,Santos,12211-014,0800-396-7701
Ana Lívia Melo,910.425.763-43,28/04/1976,47,Loteamento Lucas Pires,50,Outro,Vieira Verde,80680013,(081) 2786 2664
Vitor Fogaça,912.034.567-43,27/04/1948,75,Praia Maysa Costa,64,São Paulo,Santos,71367951,(061) 1571-2189
Pedro Henrique das Neves,913.205.486-60,09/03/1965,58,Rua Alves,7,Céu Azul,da Mata,71130914,61 3959-4097
Caio Moura,918.253.740-23,23/09/1948,75,Núcleo Paulo Silveira,55,Santa Terezinha,da Mota,02497-380,0900 783 6495
Ana Lívia Novaes,920.167.835-59,09/11/1947,76,Colônia de Costa,5,Vila Calafate,Costa,78771-791,11 0522-0714
Dra. Alícia Aragão,920.547.183-60,03/12/1955,68,Ladeira Yasmin Nogueira,58,Vila Piratininga,Carvalho de Ferreira,46637459,0900-220-7241
Benício da Rocha,921.375.480-97,02/02/1999,24,Vale de Costa,933,Sport Club,Jesus,35009573,+55 84 7262-3898
Marina Martins,921.467.058-76,30/06/1946,77,Esplanada de Correia,75,Saudade,Lima da Prata,91854298,(084) 7691 7280
Sr. Lucca Aragão,925.807.341-04,02/07/1959,64,Avenida Viana,106,Estoril,Pereira,37741504,+55 (081) 5200 3507
Vitória Alves,927.835.014-14,17/03/1951,72,Lagoa Mendes,75,Nova Esperança,da Mota de Farias,67916-439,0300 505 2661
Fernanda da Costa,928.165.730-95,20/04/1993,30,Setor Porto,10,Miramar,Cardoso,82127-356,+55 (031) 5111 8969
Maria Eduarda Silva,928.357.406-00,12/06/1949,74,Área Davi Lucas Ribeiro,336,Santa Margarida,Costa,36757-791,+55 (051) 0702 6450
Alexia Lima,930.185.264-06,24/09/1980,43,Chácara Emanuel Barbosa,52,Vila Nova Gameleira 3ª Seção,da Conceição,57480-749,31 9403-6533
Helena Campos,930.741.625-70,11/11/2003,20,Rodovia Rocha,64,Santa Inês,da Rocha,1594632,+55 (011) 8548 2112
Sr. Lucca Cavalcanti,930.872.614-40,29/07/1944,79,Viela Rezende,3,Vila Piratininga,Moura da Praia,45651693,81 8551-7343
Sra. Catarina Pires,932.604.718-04,31/03/2002,21,Viela João da Costa,88,Vila Santo Antônio Barroquinha,Barros,21242592,+55 (011) 9226-9678
Renan da Rocha,932.681.045-33,26/01/1985,38,Pátio Ana Clara Almeida,245,Outro,da Conceição,88438-367,61 1463 1197
Renan da Rocha,932.681.045-33,26/01/1985,38,Avenida Rodrigues,22,Cidade Jardim,da Costa,59291540,+55 (081) 8150-8884
Maria Sophia Viana,936.025.718-40,13/01/1990,33,Residencial de Moraes,836,São Vicente,Silva,63040-014,+55 21 6408-6689
Lara Lima,936.741.520-61,06/09/1960,63,Colônia Lucas Gabriel Lima,8,Vila Do Pombal,Silveira,80120763,31 9543 3505
Sra. Raquel Cardoso,937.056.248-65,31/07/2000,23,Estação de Cardoso,48,Frei Leopoldo,Mendes de da Cunha,28622-227,+55 21 5128 6664
Emanuelly Cunha,937.185.460-00,19/07/1977,46,Loteamento de Porto,1,Vila Das Oliveiras,da Paz,31553-476,0900 401 9879
Sophia Freitas,937.542.016-70,30/04/1985,38,Viaduto da Mota,753,Conjunto Capitão Eduardo,Gonçalves,05535-492,+55 (041) 6281 9749
Ana Laura da Luz,940.216.875-30,26/03/1975,48,Condomínio Luiz Gustavo Nogueira,20,Granja De Freitas,Gomes,90630658,+55 81 6177 6115
Caroline Moraes,946.078.253-10,04/04/1958,65,Fazenda Natália Monteiro,50,Vila São Paulo,Moreira de Monteiro,45662472,(084) 8782 1559
Lavínia da Costa,946.103.285-42,16/09/1975,48,Aeroporto Camila Fogaça,92,Cidade Jardim Taquaril,Santos,62415-690,+55 21 2300-1941
Beatriz Alves,946.502.317-52,16/04/1995,28,Favela de Campos,56,Lourdes,Moraes,93220-401,+55 51 6805 2920
Maysa da Rosa,946.753.801-66,18/08/1993,30,Praia de Jesus,68,Concórdia,Gomes,97360059,0900-618-9576
Maria Eduarda Viana,948.512.073-79,14/11/1972,51,Vila Moura,8,Planalto,Gonçalves Alegre,25759621,(081) 1189 0492
Gustavo Henrique Lopes,950.436.781-00,07/03/1974,49,Alameda de Cardoso,4,Horto Florestal,Almeida,36086880,+55 (051) 1634-3970
João Pedro Cavalcanti,951.730.246-07,17/09/2000,23,Alameda Castro,22,Leonina,Caldeira,27023468,+55 61 0554 5592
Sabrina Pereira,956.028.314-60,07/11/1994,29,Sítio das Neves,83,Beira Linha,da Mota,22886-562,(021) 7355 3983
Kaique Costela,956.437.210-07,10/09/2003,20,Estrada Guilherme Fogaça,95,Lajedo,Cardoso,51470-328,+55 (084) 2722 7138
Rafaela Rodrigues,960.852.137-86,14/07/1960,63,Conjunto de da Luz,7,Vila Nova Gameleira 3ª Seção,Castro do Campo,62611,(084) 7967-8721
Gabrielly Nogueira,963.702.184-13,23/01/1981,42,Quadra Rodrigues,92,Funcionários,Alves das Pedras,64246781,(041) 8631-0393
Manuela Souza,964.531.872-64,30/11/1986,37,Pátio de Melo,41,Vila Pinho,Rezende da Mata,86018-166,(061) 5514 6253
Alana Pires,965.017.834-10,06/02/1959,64,Sítio Lavínia Ferreira,42,Venda Nova,Sales,82156-791,(041) 1287-9977
Marcos Vinicius Pires,965.438.201-60,06/02/1983,40,Trecho de da Costa,93,Alta Tensão 1ª Seção,Caldeira,8149908,21 1443-1529
Marcos Vinicius Pires,965.438.201-60,06/02/1983,40,Rodovia de da Mata,25,Santa Inês,Rodrigues do Sul,72667125,0900 277 9708
Dr. Kevin Carvalho,970.548.612-30,14/01/1965,58,Colônia Nascimento,55,Palmares,da Conceição,12348267,+55 (021) 3623 7812
Cecília Santos,972.640.158-58,15/04/1979,44,Vale Thomas Oliveira,37,Dom Cabral,Caldeira,65542-442,61 9625-7193
Leandro Duarte,973.405.862-29,29/03/2006,17,Estação Yago Costa,3,Vila Sumaré,Sales Alegre,14525-420,(031) 4386-8789
Caio da Luz,974.620.183-22,26/08/1972,51,Travessa de Cardoso,61,Atila De Paiva,da Cunha,69466-525,(041) 6595 5803
Alícia Barros,976.825.130-12,07/10/1999,24,Rodovia de Novaes,9,Baleia,da Cruz de Silva,79635296,(061) 6394 7404
Sr. Pedro Costa,980.267.514-85,25/10/1953,70,Conjunto Luiz Felipe Cardoso,771,Parque São Pedro,Rocha,31998-875,+55 81 3062 0765
Lívia Duarte,982.365.714-91,28/08/1951,72,Fazenda Rezende,36,Tiradentes,Ramos,83361-683,0300-781-8602
João Miguel Moraes,984.560.217-76,14/03/1980,43,Sítio de Alves,18,Alto Dos Pinheiros,Peixoto,36288588,21 6035 8940
Fernanda Jesus,986.027.435-56,25/02/2006,17,Alameda Helena Pires,78,Vila Olhos D'água,Porto de Souza,58643098,(071) 1932-3705
Dra. Ana Luiza Cunha,987.136.024-03,08/01/1998,25,Vereda Melissa Martins,7,Dom Cabral,Ferreira Verde,81172-618,+55 81 6639 2615
